exp_name,epoch,train_loss,val_safe_acc,lr
INSIGHT_lr_1e-3,0,2.6845322052637735,0.5538194477558136,0.0009938441702975688
INSIGHT_lr_1e-3,1,2.429494325319926,0.4670138955116272,0.0009755282581475768
INSIGHT_lr_1e-3,2,2.299270141124725,0.6354166716337204,0.0009455032620941839
INSIGHT_lr_1e-3,3,2.1971508165200553,0.8003472238779068,0.0009045084971874737
INSIGHT_lr_1e-3,4,2.130336284637451,0.5416666716337204,0.0008535533905932737
INSIGHT_lr_1e-3,5,2.0162404278914132,0.5798611119389534,0.0007938926261462366
INSIGHT_lr_1e-3,6,1.9805451114972432,0.6822916716337204,0.0007269952498697733
INSIGHT_lr_1e-3,7,1.893431011835734,0.7100694477558136,0.0006545084971874737
INSIGHT_lr_1e-3,8,1.7564326484998067,0.78125,0.0005782172325201155
INSIGHT_lr_1e-3,9,1.6968434035778046,0.7100694477558136,0.0005
INSIGHT_lr_1e-3,10,1.6098761220773061,0.7256944477558136,0.0004217827674798847
INSIGHT_lr_1e-3,11,1.5159004360437394,0.7690972238779068,0.00034549150281252633
INSIGHT_lr_1e-3,12,1.4043929785490037,0.7534722238779068,0.00027300475013022663
INSIGHT_lr_1e-3,13,1.2752054929733276,0.7847222238779068,0.00020610737385376348
INSIGHT_lr_1e-3,14,1.157228014866511,0.7413194477558136,0.00014644660940672625
INSIGHT_lr_1e-3,15,1.0534815937280655,0.8315972238779068,9.549150281252631e-05
INSIGHT_lr_1e-3,16,0.9653986096382141,0.7847222238779068,5.4496737905816096e-05
INSIGHT_lr_1e-3,17,0.9278108944495519,0.7725694477558136,2.447174185242323e-05
INSIGHT_lr_1e-3,18,0.8426542475819587,0.7447916716337204,6.15582970243117e-06
INSIGHT_lr_1e-3,19,0.8506839245557785,0.7447916716337204,0.0
